id,name,description,location,price_per_night,image
29,Crystal Manor,Crystal Manor provides easy access to local attractions and serene garden views. Guests love the hospitality and convenience it offers in Jaipur.,Jaipur,145,29.jpg
30,Golden Inn,Golden Inn is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Goa.,Goa,170,30.jpg
31,Royal Resort,"Royal Resort boasts spacious suites, a wellness spa, and on-site fine dining. Guests love the hospitality and convenience it offers in Mumbai.",Mumbai,155,31.jpg
32,Golden Nest,"Golden Nest boasts spacious suites, a wellness spa, and on-site fine dining. Guests love the hospitality and convenience it offers in Delhi.",Delhi,140,32.jpg
33,Orchid Haven,"Orchid Haven is nestled in a quiet area, ideal for peaceful stays and weekend getaways. Guests love the hospitality and convenience it offers in Bangalore.",Bangalore,130,33.jpg
34,Crystal Manor,Crystal Manor is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Chennai.,Chennai,125,34.jpg
35,Elegant Nest,Elegant Nest offers luxurious rooms with stunning city views and personalized service. Guests love the hospitality and convenience it offers in Kolkata.,Kolkata,120,35.jpg
36,Heritage View,Heritage View is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Hyderabad.,Hyderabad,150,36.jpg
37,Grand Palace,Grand Palace has heritage architecture blended with modern comfort and a cozy café. Guests love the hospitality and convenience it offers in Pune.,Pune,135,37.jpg
38,Serene Resort,Serene Resort has heritage architecture blended with modern comfort and a cozy café. Guests love the hospitality and convenience it offers in Ahmedabad.,Ahmedabad,140,38.jpg
39,Crystal View,Crystal View offers world-class amenities including a rooftop pool and gourmet dining. Guests love the hospitality and convenience it offers in Jaipur.,Jaipur,150,39.jpg
40,Orchid View,Orchid View has heritage architecture blended with modern comfort and a cozy café. Guests love the hospitality and convenience it offers in Goa.,Goa,175,40.jpg
41,Urban Resort,"Urban Resort is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Mumbai.",Mumbai,160,41.jpg
42,Heritage Manor,"Heritage Manor is nestled in a quiet area, ideal for peaceful stays and weekend getaways. Guests love the hospitality and convenience it offers in Delhi.",Delhi,145,42.jpg
43,Heritage Haven,Heritage Haven offers world-class amenities including a rooftop pool and gourmet dining. Guests love the hospitality and convenience it offers in Bangalore.,Bangalore,135,43.jpg
44,Golden Manor,"Golden Manor is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Chennai.",Chennai,130,44.jpg
45,Crystal View,Crystal View offers luxurious rooms with stunning city views and personalized service. Guests love the hospitality and convenience it offers in Kolkata.,Kolkata,125,45.jpg
46,Orchid Manor,"Orchid Manor is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Hyderabad.",Hyderabad,155,46.jpg
47,Golden Lodge,Golden Lodge offers luxurious rooms with stunning city views and personalized service. Guests love the hospitality and convenience it offers in Pune.,Pune,140,47.jpg
48,Crystal Palace,Crystal Palace offers world-class amenities including a rooftop pool and gourmet dining. Guests love the hospitality and convenience it offers in Ahmedabad.,Ahmedabad,145,48.jpg
49,Grand Resort,Grand Resort is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Jaipur.,Jaipur,155,49.jpg
50,Golden Suites,Golden Suites provides easy access to local attractions and serene garden views. Guests love the hospitality and convenience it offers in Goa.,Goa,180,50.jpg
51,Crystal Inn,Crystal Inn is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Mumbai.,Mumbai,165,51.jpg
52,Orchid Inn,Orchid Inn offers luxurious rooms with stunning city views and personalized service. Guests love the hospitality and convenience it offers in Delhi.,Delhi,150,52.jpg
53,Golden Suites,Golden Suites is popular among families for its spacious rooms and kids' play area. Guests love the hospitality and convenience it offers in Bangalore.,Bangalore,140,53.jpg
54,Orchid Palace,"Orchid Palace is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Chennai.",Chennai,135,54.jpg
55,Crystal Lodge,"Crystal Lodge is perfect for business and leisure travelers, with free Wi-Fi and meeting rooms. Guests love the hospitality and convenience it offers in Kolkata.",Kolkata,130,55.jpg
56,Royal View,Royal View provides easy access to local attractions and serene garden views. Guests love the hospitality and convenience it offers in Hyderabad.,Hyderabad,160,56.jpg
57,Serene Manor,"Serene Manor features modern interiors, complimentary breakfast, and a 24-hour front desk. Guests love the hospitality and convenience it offers in Pune.",Pune,145,57.jpg
58,Crystal Retreat,"Crystal Retreat features modern interiors, complimentary breakfast, and a 24-hour front desk. Guests love the hospitality and convenience it offers in Ahmedabad.",Ahmedabad,150,58.jpg
59,Elegant Haven,Elegant Haven provides easy access to local attractions and serene garden views. Guests love the hospitality and convenience it offers in Jaipur.,Jaipur,160,59.jpg
60,Golden Resort,"Golden Resort features modern interiors, complimentary breakfast, and a 24-hour front desk. Guests love the hospitality and convenience it offers in Goa.",Goa,185,60.jpg
